seed,dp_enabled,clip_norm,noise_multiplier,test_acc,attack_auc,attack_ap,attack_acc,attack_f1,client_bytes_total,client_bytes_avg,aggregate_bytes
1,True,2.0,0.0,0.6692757770970021,0.9980849184371031,0.9803393644379449,0.9910464176840554,0.9577568217549498,74644240.0,7464424.0,7464424.0
1,True,2.0,0.0025,0.6637830918602733,0.8060741410103127,0.517320777022426,0.8902014683645871,0.4624833453584623,74644240.0,7464424.0,7464424.0
1,True,2.0,0.005,0.6615851373152222,0.6225989267457895,0.2042986408269825,0.8465342062129582,0.23275214562762261,74644240.0,7464424.0,7464424.0
1,True,2.0,0.01,0.6470694151553872,0.5430870307480813,0.1305161786798873,0.8312199842843478,0.1468535252490181,74644240.0,7464424.0,7464424.0
1,True,2.0,0.02,0.4795985716060005,0.520488831432895,0.12660725436109793,0.8220517383908768,0.10235223466989611,74644240.0,7464424.0,7464424.0
2,False,0.0,0.0,0.66534749779717,0.9983267783170613,0.9812897660942405,0.9887776518703889,0.9432624106405519,74644240.0,7464424.0,7464424.0
2,True,0.25,0.0,0.6617490710314954,0.9980915813799198,0.9823379383968547,0.9887463430710788,0.9412536837080445,74644240.0,7464424.0,7464424.0
2,True,0.25,0.0025,0.6648856640077045,0.9975179370749621,0.977145203216588,0.988195885552782,0.9393987742769155,74644240.0,7464424.0,7464424.0
2,True,0.25,0.005,0.6606938738632315,0.9946039715269975,0.9740908395515065,0.9887273061493292,0.9441532755249649,74644240.0,7464424.0,7464424.0
2,True,0.25,0.01,0.6645097373518674,0.9372749248132282,0.8283022674857315,0.9473638504387718,0.7548644450314342,74644240.0,7464424.0,7464424.0
2,True,0.25,0.02,0.616616594279031,0.7745310730145756,0.48658512069493387,0.885112063280402,0.44356268051269776,74644240.0,7464424.0,7464424.0
2,True,0.5,0.0,0.6615142369721794,0.9985227208058991,0.9823284723790261,0.989330751645095,0.9449512163229056,74644240.0,7464424.0,7464424.0
2,True,0.5,0.0025,0.6562061669556343,0.996131693758584,0.9805879894901783,0.9893862496750991,0.9498302275136015,74644240.0,7464424.0,7464424.0
2,True,0.5,0.005,0.6560457270533107,0.9382211079749373,0.838031941882918,0.9475726879410875,0.7483086908982276,74644240.0,7464424.0,7464424.0
2,True,0.5,0.01,0.6514091546699597,0.8177585117000394,0.5328582810095561,0.8970058622607434,0.5027595832340246,74644240.0,7464424.0,7464424.0
2,True,0.5,0.02,0.6228722606580968,0.6171246410768656,0.21558752621118193,0.8411229150471229,0.2086755245023945,74644240.0,7464424.0,7464424.0
2,True,1.0,0.0,0.6601503556255538,0.9988176394343998,0.9867943922252561,0.9899977197552635,0.9497207439738853,74644240.0,7464424.0,7464424.0
2,True,1.0,0.0025,0.6627080252767505,0.9509725442317437,0.8564533970946103,0.9517727875072131,0.7684380916555416,74644240.0,7464424.0,7464424.0
2,True,1.0,0.005,0.6571440093503689,0.8075631836074286,0.5034119952885207,0.8874407775628679,0.45436047716503153,74644240.0,7464424.0,7464424.0
2,True,1.0,0.01,0.64561762365809,0.6050794915715527,0.17210809178512235,0.8385548054671256,0.1961793462494158,74644240.0,7464424.0,7464424.0
2,True,1.0,0.02,0.6097708577539314,0.5415031051693855,0.13030190957923998,0.8238031974886277,0.1096090678241132,74644240.0,7464424.0,7464424.0
2,True,2.0,0.0,0.6597456439214314,0.9976222175581315,0.9775203776183377,0.989359847866275,0.9447816392468695,74644240.0,7464424.0,7464424.0
