seed,train_epochs,noise_multiplier,dp_enabled,clip_norm,test_acc,mse,cosine_sim,feat_corr,dlg_iters
1,10,0.0,False,0.0,0.6634303329762734,0.051737572997808456,0.00706402026116848,0.04364837857284504,300
1,10,0.005,True,1.0,0.5641596036914737,0.0511002242565155,0.010508262552320957,0.04443883145333172,300
1,10,0.01,True,1.0,0.515697311882074,0.06129828467965126,0.006505785975605249,0.04294908963336835,300
1,10,0.02,True,1.0,0.42454725795047293,0.07160769402980804,0.006030537188053131,0.04001886054775831,300
1,10,0.05,True,1.0,0.3192794865446833,0.07394884526729584,0.0018573951674625278,0.039767839284613325,300
1,30,0.0,False,0.0,0.658170514558936,0.06041283532977104,0.008531096391379833,0.043560461246678985,300
1,30,0.005,True,1.0,0.657900502185833,0.05997440218925476,0.004732958041131496,0.04173787736348337,300
1,30,0.01,True,1.0,0.6444319410298298,0.06469311565160751,0.005755819380283356,0.04282138359769157,300
1,30,0.02,True,1.0,0.6145427317314044,0.07416961342096329,0.00393091794103384,0.040110689067311536,300
1,30,0.05,True,1.0,0.4623844329394268,0.08403852581977844,-0.00021067121997475624,0.03917128791182515,300
1,100,0.0,False,0.0,0.6733265251485585,0.06504493206739426,0.004375879652798176,0.04256356671458771,300
1,100,0.005,True,1.0,0.6638099389603664,0.06973374634981155,0.006933873053640127,0.041884053296848786,300
1,100,0.01,True,1.0,0.6673503118232095,0.06871149688959122,0.0044265687465667725,0.04143078482626643,300
1,100,0.02,True,1.0,0.6524765020309714,0.06702513992786407,0.003581047523766756,0.04043934676327788,300
1,100,0.05,True,1.0,0.6214796441039202,0.101926788687706,-6.770656909793615e-05,0.039080356161749936,300
2,10,0.0,False,0.0,0.6652224748242822,0.05367991700768471,0.010121178813278675,0.044868591967237435,300
2,10,0.005,True,1.0,0.5764153844822194,0.05356273427605629,0.011997593566775322,0.04716923874340297,300
2,10,0.01,True,1.0,0.40757233650611974,0.057653773576021194,0.00994131900370121,0.04471048815898788,300
2,10,0.02,True,1.0,0.2939776701184769,0.07050725072622299,0.0036508666817098856,0.040863403831632526,300
2,10,0.05,True,1.0,0.2411948975443231,0.06990328431129456,0.00018368673045188189,0.04182659831154844,300
2,30,0.0,False,0.0,0.6581249526215631,0.06540749222040176,0.007822170853614807,0.04376365331708511,300
2,30,0.005,True,1.0,0.6615457855297131,0.06375736743211746,0.003675431478768587,0.04191135134743671,300
2,30,0.01,True,1.0,0.64849189295581,0.060406967997550964,0.006611318793147802,0.0434423739142476,300
2,30,0.02,True,1.0,0.6096112135655535,0.072318896651268,0.005039672367274761,0.04251244192222686,300
2,30,0.05,True,1.0,0.338634092411122,0.0798836499452591,0.0020235050469636917,0.03945241565763421,300
2,100,0.0,False,0.0,0.6734683414927324,0.06624089926481247,0.007583143189549446,0.043459434512998454,300
2,100,0.005,True,1.0,0.6596349055680347,0.07824733108282089,0.005326614715158939,0.03959921239715211,300
2,100,0.01,True,1.0,0.6521250357096139,0.07438744604587555,0.0038845199160277843,0.03976306829753264,300
2,100,0.02,True,1.0,0.6418588583018637,0.07120820879936218,0.004041502717882395,0.040534336978951924,300
2,100,0.05,True,1.0,0.6122959805280195,0.09489744156599045,0.0035929144360125065,0.039179542993265364,300
3,10,0.0,False,0.0,0.6403753085110615,0.05961063131690025,0.006964589469134808,0.04144777324184784,300
3,10,0.005,True,1.0,0.5240779895484358,0.06318025290966034,0.01056325901299715,0.04404514635609048,300
3,10,0.01,True,1.0,0.47368175871636653,0.06154773756861687,0.00951360259205103,0.04223732187425755,300
3,10,0.02,True,1.0,0.39481742840863787,0.07004401832818985,0.004219068214297295,0.04117783508890921,300
3,10,0.05,True,1.0,0.2958307302514103,0.07310180366039276,0.0017168419435620308,0.04091933860140525,300
3,30,0.0,False,0.0,0.6576566411132457,0.060391560196876526,0.0049274456687271595,0.042488207578904785,300
3,30,0.005,True,1.0,0.6554215082471564,0.06334084272384644,0.0072448779828846455,0.0442051566650136,300
3,30,0.01,True,1.0,0.6316905366718716,0.06016853079199791,0.007766291964799166,0.04443980004154812,300
3,30,0.02,True,1.0,0.5367951315105732,0.07985462993383408,0.0021178429014980793,0.04015917640638304,300
3,30,0.05,True,1.0,0.42514581123307044,0.09450792521238327,0.001601673080585897,0.03860130661280786,300
3,100,0.0,False,0.0,0.6755830627824939,0.0671938881278038,0.007967107929289341,0.04183304297133513,300
3,100,0.005,True,1.0,0.6647371743439839,0.07443967461585999,0.004961065482348204,0.041542435926715686,300
3,100,0.01,True,1.0,0.6481205322809108,0.07066022604703903,0.005154756363481283,0.040830331691731336,300
3,100,0.02,True,1.0,0.637340540566314,0.0818864107131958,0.004057292826473713,0.04159785519752039,300
3,100,0.05,True,1.0,0.5974743248537061,0.10336081683635712,0.002504275646060705,0.03875129796613712,300
