dataset,train_epochs,noise_multiplier,test_acc,mse,cosine_sim,feat_corr
Photo,10,0.02,0.3595 +- 0.0354,0.4027 +- 0.0120,0.0006 +- 0.0029,0.0313 +- 0.0012
Photo,10,0.05,0.2947 +- 0.0270,0.4083 +- 0.0118,0.0013 +- 0.0006,0.0336 +- 0.0020
Photo,30,0.0,0.8484 +- 0.0118,0.4051 +- 0.0171,0.0107 +- 0.0045,0.0335 +- 0.0039
Photo,30,0.005,0.8109 +- 0.0020,0.3997 +- 0.0067,0.0039 +- 0.0059,0.0337 +- 0.0035
Photo,30,0.01,0.6245 +- 0.0533,0.4010 +- 0.0162,-0.0032 +- 0.0023,0.0310 +- 0.0008
Photo,30,0.02,0.4486 +- 0.0017,0.4065 +- 0.0098,0.0021 +- 0.0095,0.0313 +- 0.0008
Photo,30,0.05,0.4249 +- 0.0075,0.4214 +- 0.0157,0.0024 +- 0.0045,0.0344 +- 0.0005
Photo,100,0.0,0.9180 +- 0.0019,0.4229 +- 0.0463,0.0096 +- 0.0089,0.0372 +- 0.0080
Photo,100,0.005,0.8433 +- 0.0017,0.4056 +- 0.0098,0.0106 +- 0.0004,0.0350 +- 0.0016
Photo,100,0.01,0.8385 +- 0.0023,0.4159 +- 0.0107,0.0021 +- 0.0084,0.0376 +- 0.0019
Photo,100,0.02,0.8241 +- 0.0064,0.4366 +- 0.0090,0.0014 +- 0.0020,0.0338 +- 0.0012
Photo,100,0.05,0.6333 +- 0.0170,0.4631 +- 0.0094,0.0011 +- 0.0005,0.0323 +- 0.0010
PubMed,10,0.0,0.6172 +- 0.0438,0.0678 +- 0.0038,0.0078 +- 0.0030,0.0193 +- 0.0013
PubMed,10,0.005,0.7787 +- 0.0540,0.0473 +- 0.0012,0.0057 +- 0.0018,0.0194 +- 0.0013
PubMed,10,0.01,0.7613 +- 0.0679,0.0489 +- 0.0015,0.0034 +- 0.0027,0.0189 +- 0.0011
PubMed,10,0.02,0.7007 +- 0.0656,0.0527 +- 0.0011,0.0026 +- 0.0012,0.0185 +- 0.0006
PubMed,10,0.05,0.5958 +- 0.0007,0.0728 +- 0.0007,0.0020 +- 0.0009,0.0178 +- 0.0006
PubMed,30,0.0,0.8039 +- 0.0329,0.0466 +- 0.0019,0.0045 +- 0.0027,0.0189 +- 0.0004
