seed,train_epochs,noise_multiplier,dp_enabled,clip_norm,test_acc,mse,cosine_sim,feat_corr,dlg_iters
1,10,0.0,False,0.0,0.33067999895410793,0.05754861235618591,0.015340437181293964,0.014790255805285868,300
1,10,0.005,True,1.0,0.36552195309151936,0.03986910358071327,-0.003996300045400858,0.017203569364190836,300
1,10,0.01,True,1.0,0.36271261338648914,0.04171985015273094,-0.0012053590035066009,0.016710788497139004,300
1,10,0.02,True,1.0,0.36633709012590826,0.04568280279636383,-0.0034988345578312874,0.01534878076204146,300
1,10,0.05,True,1.0,0.36628596644672756,0.052504897117614746,-0.0011290349066257477,0.015417048732916404,300
1,30,0.0,False,0.0,0.3777044898441429,0.048373110592365265,-0.005839544348418713,0.016624711887080347,300
1,30,0.005,True,1.0,0.32707063500863287,0.041819870471954346,0.006763608194887638,0.016126753563681744,300
1,30,0.01,True,1.0,0.3541887225840249,0.04119816794991493,0.0006140935001894832,0.015371084653892326,300
1,30,0.02,True,1.0,0.36383629594045036,0.04714234918355942,-0.0009890453657135367,0.016334761716645538,300
1,30,0.05,True,1.0,0.36561710057223756,0.05923353508114815,-0.0005870775785297155,0.016840811092398364,300
1,100,0.0,False,0.0,0.37248738109457047,0.040772028267383575,-0.00284913694486022,0.015899580020887115,300
1,100,0.005,True,1.0,0.28751355204101525,0.04378022998571396,0.005617977119982243,0.01590809852866307,300
1,100,0.01,True,1.0,0.29899732644298427,0.04563536494970322,0.004230554681271315,0.015884275943225782,300
1,100,0.02,True,1.0,0.3417831561874179,0.05056547001004219,0.0010346875060349703,0.015820254516518018,300
1,100,0.05,True,1.0,0.3620973126343724,0.07663185894489288,4.382128827273846e-05,0.01618723439876633,300
2,10,0.0,False,0.0,0.31254714477953904,0.04839294031262398,0.008855213411152363,0.016755607291431655,300
2,10,0.005,True,1.0,0.3662724460485946,0.04039286449551582,-0.004749082028865814,0.016494270723360654,300
2,10,0.01,True,1.0,0.352920517509141,0.04255339130759239,-0.004247135948389769,0.016585481164920535,300
2,10,0.02,True,1.0,0.36626810413422817,0.046541739255189896,-0.0034942151978611946,0.014874799035642854,300
2,10,0.05,True,1.0,0.36626810413422817,0.052771102637052536,0.0005990498466417193,0.014689893399930884,300
2,30,0.0,False,0.0,0.38240406959372836,0.0495394766330719,-0.0013346293708309531,0.015117712842148509,300
2,30,0.005,True,1.0,0.335334909211941,0.04188370332121849,0.0013067697873339057,0.015098367133133762,300
2,30,0.01,True,1.0,0.3503379918769958,0.04338645935058594,-0.0003052290412597358,0.015435086528283468,300
2,30,0.02,True,1.0,0.36388964222163994,0.04769345000386238,-0.004356376361101866,0.01662222668521815,300
2,30,0.05,True,1.0,0.36438476267022357,0.06071223318576813,-0.0025114621967077255,0.015048102626695302,300
2,100,0.0,False,0.0,0.3770906043153912,0.042283132672309875,-0.008514275774359703,0.01550655954831667,300
2,100,0.005,True,1.0,0.2926752333065838,0.04522952437400818,0.009343980811536312,0.016622162139188452,300
2,100,0.01,True,1.0,0.30556498918266795,0.04410338029265404,0.004238607827574015,0.017225902655126583,300
2,100,0.02,True,1.0,0.33071894018566916,0.05151284113526344,0.0013076143804937601,0.015261419952248141,300
2,100,0.05,True,1.0,0.36091237450598035,0.07306443899869919,-0.0016827033832669258,0.016087653635362072,300
3,10,0.0,False,0.0,0.3374075622933763,0.056098055094480515,0.012229925952851772,0.015885540945982796,300
3,10,0.005,True,1.0,0.36625352145949747,0.04064594954252243,-0.0030548153445124626,0.016095614707387275,300
3,10,0.01,True,1.0,0.3538620826425787,0.042702559381723404,-0.0022142056841403246,0.015602518156768488,300
3,10,0.02,True,1.0,0.36625563330423905,0.047304265201091766,-0.0034639195073395967,0.016598688178885126,300
3,10,0.05,True,1.0,0.3662042094967382,0.05341042950749397,-0.0014544851146638393,0.017182746555520437,300
3,30,0.0,False,0.0,0.3873918551368183,0.046083614230155945,-0.004202734213322401,0.01549975265927299,300
3,30,0.005,True,1.0,0.3431446478829437,0.04179352521896362,0.00330650107935071,0.014615476261268506,300
3,30,0.01,True,1.0,0.354782849303233,0.043286051601171494,-0.0022191843017935753,0.016072124677779052,300
3,30,0.02,True,1.0,0.36544677476448384,0.04998558387160301,-0.00026139203691855073,0.01587735904870256,300
3,30,0.05,True,1.0,0.36569389698212584,0.06027357280254364,-0.0018436807440593839,0.01677291270024841,300
3,100,0.0,False,0.0,0.3701137616541696,0.04199526086449623,-0.011235900223255157,0.016779600644912556,300
3,100,0.005,True,1.0,0.2886065543002111,0.044406794011592865,0.011700180359184742,0.016351200398151744,300
3,100,0.01,True,1.0,0.30244528750578564,0.0435652993619442,0.005535265430808067,0.015952864415719175,300
3,100,0.02,True,1.0,0.3446957507973381,0.05026587098836899,-0.0002713085268624127,0.0173420415013939,300
3,100,0.05,True,1.0,0.36167580442706615,0.07301859557628632,-0.0024223390500992537,0.01706160091138782,300
