dataset,metric,n_points,slope,pearson_r,linreg_p_value,linreg_significant,spearman_rho,spearman_p_value,spearman_significant
chameleon,test_acc,15,-1.4957140382202907,-0.5779384105367678,0.024037088197993575,True,-0.8401388774085707,8.84540405988463e-05,True
chameleon,mse,15,0.2858731149055277,0.5121224913766587,0.0509755949011232,False,0.5346338310781813,0.04004355614589861,True
chameleon,cosine_sim,15,-0.18953909188568277,-0.7762076412690674,0.0006680429131964956,True,-0.8946933499675688,6.728868684043672e-06,True
chameleon,feat_corr,15,-0.038705621286103095,-0.24260116078831234,0.38364562712401196,False,-0.27277236279499045,0.3253052557293348,False
CiteSeer,test_acc,15,-1.2205704957057686,-0.9526817573860583,4.2811628487804435e-08,True,-0.9274260335029676,6.488928072016145e-07,True
CiteSeer,mse,15,0.6385964966273012,0.911820674454897,2.2146105521117835e-06,True,0.7201190377787748,0.002464472124440046,True
CiteSeer,cosine_sim,15,-0.08558044138851675,-0.7870038631329205,0.0004982527118383533,True,-0.8619606664321698,3.6008514169692044e-05,True
CiteSeer,feat_corr,15,-0.05800555753622224,-0.7758661020960692,0.0006740958497961884,True,-0.7964952993613723,0.00037972341637871964,True
Cora,test_acc,15,-4.152388901630741,-0.608803884121524,0.016010866810022405,True,-0.7964952993613723,0.00037972341637871964,True
Cora,mse,15,1.2574860142378863,0.9532845471043216,3.944620836785416e-08,True,0.9819805060619657,8.648244862274882e-11,True
Cora,cosine_sim,15,-0.09889671623702811,-0.6958501554115522,0.0039638049920115714,True,-0.7092081432669752,0.0030688151705438975,True
Cora,feat_corr,15,-0.0986813219393069,-0.7624522835079309,0.0009495898997345886,True,-0.7637626158259734,0.000919214289356059,True
PubMed,test_acc,15,-0.12958033403051936,-0.21213970822324357,0.4478297927415712,False,0.0545544725589981,0.8468800214510517,False
PubMed,mse,15,0.7090998066880027,0.8338913766492172,0.0001116934365040004,True,0.9601587170383665,1.4253378150816172e-08,True
PubMed,cosine_sim,15,0.03336946401874705,0.19144883167444704,0.49428018992218203,False,0.3273268353539886,0.23368817160502264,False
PubMed,feat_corr,15,-0.0018566920163344545,-0.02964082290691409,0.9164860369774257,False,0.20730699572419276,0.45847894123495225,False
Photo,test_acc,15,-5.205095367267134,-0.9728787449021591,1.2067254769737878e-09,True,-0.9819805060619657,8.648244862274882e-11,True
Photo,mse,15,1.028249598253628,0.6752100181108696,0.005742623436473796,True,0.6110100926607788,0.015528862858301292,True
Photo,cosine_sim,15,-0.16776000235263117,-0.4818558291974431,0.06893876035637479,False,-0.5346338310781813,0.04004355614589861,True
Photo,feat_corr,15,-0.09259064805549705,-0.4447996254658951,0.09665381365272162,False,-0.4146139914483855,0.12438686092089549,False
Amazon-ratings,test_acc,15,0.6406872922894682,0.3481120711089327,0.20355275704933165,False,0.0,1.0,False
Amazon-ratings,mse,15,0.6638480947679104,0.9853174150671143,2.3030007007127332e-11,True,0.9274260335029676,6.488928072016145e-07,True
Amazon-ratings,cosine_sim,15,-0.03409190986350608,-0.10258967917034587,0.7159921062515326,False,0.01091089451179962,0.9692153886494579,False
Amazon-ratings,feat_corr,15,0.005105245903375449,0.15072185822384926,0.5918338268646481,False,0.1527525231651947,0.586792246387779,False
